Order ID,Product Name,Category,Brand,Price,Discount (%),Final Price,Rating,Number of Reviews,Seller Name,Order Date,Order Status,Payment Method,Customer Location,Quantity Sold
ORD001,Gaming Console Adidas,Books,Adidas,15259,55,6866.55,4.6,1448,Brooks-Roth,16-09-2024,Delivered,Cash on Delivery,Chennai,10
ORD002,LED TV Apple,Fashion,LG,13355,58,5609.1,4.1,87,Cooley LLC,16-04-2024,Processing,Credit Card,Jaipur,5
ORD003,Washing Machine LG,Beauty,Philips,22852,28,16453.44,4.2,675,Jones LLC,08-08-2024,Delivered,Credit Card,Jaipur,7
ORD004,Smartphone Puma,Electronics,Revlon,40415,13,35161.05,2.8,448,Rogers-Boyd,02-02-2024,Cancelled,UPI,Chennai,5
ORD005,Running Shoes Puma,Toys,Adidas,26142,40,15685.2,2.2,632,Harris Group,11-11-2023,Shipped,Net Banking,Hyderabad,1
ORD006,Gaming Console Nike,Electronics,LG,39366,49,20076.66,3.2,362,Villanueva-Booth,01-04-2024,Cancelled,Debit Card,Kolkata,7
ORD007,Washing Machine Samsung,Appliances,Samsung,3942,31,2719.98,2.7,1257,"Campbell, Villanueva and Flores",20-04-2024,Cancelled,Amazon Pay,Delhi,4
ORD008,Running Shoes Adidas,Toys,Puma,1266,15,1076.1,4.5,415,Garcia-Buck,13-03-2023,Processing,Net Banking,Hyderabad,1
ORD009,Gaming Console Nike,Appliances,Samsung,7341,60,2936.4,2.7,1357,"Rodriguez, Hanna and Trujillo",22-08-2023,Shipped,Credit Card,Pune,4
ORD010,LED TV Lenovo,Appliances,Amazon Basics,38676,8,35581.92,3.4,63,Thomas-Shaw,03-07-2023,Cancelled,Cash on Delivery,Mumbai,3
ORD011,Washing Machine Philips,Beauty,Lenovo,8108,9,7378.28,2.9,1283,Wood-Strickland,02-02-2024,Processing,Credit Card,Bangalore,8
ORD012,Laptop Amazon Basics,Grocery,Nike,32543,59,13342.63,4.0,613,Frazier-Rose,18-09-2023,Delivered,Debit Card,Mumbai,6
ORD013,Perfume Puma,Books,Philips,46143,58,19380.06,2.6,918,Cohen Group,17-05-2024,Returned,UPI,Kolkata,8
ORD014,LED TV Adidas,Grocery,Revlon,34373,39,20967.53,2.3,571,Pruitt-Bell,26-11-2024,Processing,Net Banking,Delhi,4
ORD015,Gaming Console Lenovo,Sports,Adidas,12255,21,9681.45,3.9,582,"Smith, Smith and Lewis",14-06-2023,Delivered,Net Banking,Ahmedabad,2
ORD016,Smartphone Lenovo,Fashion,Adidas,15986,14,13747.96,2.8,1055,Miller Group,31-03-2024,Returned,Credit Card,Pune,8
ORD017,Running Shoes Puma,Grocery,Puma,36106,10,32495.4,4.7,332,Chandler Ltd,13-04-2023,Delivered,Debit Card,Kolkata,6
ORD018,Washing Machine Adidas,Home Decor,Revlon,32437,51,15894.13,3.5,59,Jacobs-Moore,26-03-2024,Returned,Credit Card,Bangalore,3
ORD019,Smartphone LG,Toys,Amazon Basics,31448,30,22013.6,3.2,1324,Howard PLC,20-11-2024,Shipped,Amazon Pay,Jaipur,9
ORD020,Laptop Adidas,Appliances,Revlon,44415,53,20875.05,4.6,528,Mann Inc,30-05-2024,Shipped,Credit Card,Mumbai,1
ORD021,Gaming Console Nike,Electronics,Lenovo,24238,65,8483.3,2.6,379,Reyes-Little,15-05-2024,Cancelled,Credit Card,Kolkata,6
